,Artysta,Rok
0,ABBA,1975
1,ADELE,2011
2,ALANIS MORISSETTE,1995
3,AMY WINEHOUSE,2006
4,BEATLES,1967
5,BOB MARLEY & THE WAILERS,1984
6,COLDPLAY,2000
7,CORRS,1997
8,DAVID GRAY,1998
9,DIDO,2000
10,DIRE STRAITS,1985
11,ED SHEERAN,2014
12,EMINEM,2000
13,FLEETWOOD MAC,1977
14,GEORGE MICHAEL,1998
15,JAMES BLUNT,2004
16,JEFF WAYNE,1978
17,KEANE,2004
18,KINGS OF LEON,2008
19,LADY GAGA,2008
20,LEONA LEWIS,2007
21,MADONNA,1990
22,MEAT LOAF,1977
23,MICHAEL BUBLE,2009
24,MICHAEL JACKSON,1982
25,MIKE OLDFIELD,1973
26,NORAH JONES,2002
27,OASIS,1995
28,ORIGINAL CAST RECORDING,1965
29,ORIGINAL SOUNDTRACK,1977
30,PAUL SIMON,1986
31,PHIL COLLINS,1989
32,PINK FLOYD,1973
33,QUEEN,1981
34,REM,1992
35,ROBBIE WILLIAMS,1998
36,SCISSOR SISTERS,2004
37,SHANIA TWAIN,1997
38,SIMON & GARFUNKEL,1970
39,SIMPLY RED,1991
40,SNOW PATROL,2006
41,SPICE GIRLS,1996
42,TAKE THAT,2005
43,TRACY CHAPMAN,1988
44,TRAVIS,1999
45,U2,1987
46,VERVE,1997
